보호구역 대상지,보호구역 대분류,보호구역 소분류,보호구역 위치(주소),위도,경도
탄천,주요하천,지천,서울시 강남구 및 송파구(경기도 성남시 경계부~한강 합류부),37.495,127.107
양재천,주요하천,지천,"서울시 서초구, 강남구",37.483,127.032
성내천,주요하천,지천,송파구 마천동 331번지~잠실동 잠실철교 (한강과 합류),37.504,127.109
관악산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,관악구 신림동 산 54번지외 3필지,37.476,126.946
진관 근린공원,주요 산림생태계,주요 근린공원,은평구 진관내동 산63-3번지 일원,37.612,126.93
한강 선유도 공원,공원및생태복원지,생태공원,서울시 영등포구 양화동 95번지 (우 150-110),37.521,126.918
한강 고덕수변 생태복원지,공원및생태복원지,생태복원지,강동구 고덕동 392 일대(고덕천 합류부 하류측 한강둔치),37.551,127.142
뚝섬유수지 습지생태원,공원및생태복원지,유수복원지,성동구 성수1가동  685-63,37.542,127.064
구의유수지 수변생태공원,공원및생태복원지,유수복원지,광진구 구의동 626-1,37.543,127.086
노량진근린공원 생태통로,공원및생태복원지,교량형 생태통로,동작구 노량진근린공원,37.513,126.947
까치산 근린공원 생태통로,공원및생태복원지,교량형 생태통로,동작구 사당동 솔밭길,37.486,126.973
봉제산(백석) 근린공원,주요 산림생태계,주요 근린공원,강서구 화곡동 산1번지 일대,37.553,126.837
삼성산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,관악구 신림동 산 56-2번지외 4필지,37.476,126.929
청계산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,서초구 원지동 산4-17번지외 128필지,37.458,127.03
우면산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,서초구 우면동 산34-1번지외 92필지,37.454,127.038
강서습지생태공원,공원및생태복원지,생태공원,서울특별시 강서구 개화동 47 일대,37.577,126.803
까치산 근린공원,주요 산림생태계,주요 근린공원,"동작구 사당동 산32 일원, 관악구 봉천동 61-1",37.48,126.972
길동자연생태공원,공원및생태복원지,생태공원,강동구 길동 3번지,37.54,127.143
중랑천,주요하천,지천,중랑천(한강 합류부 ~ 경기도 의정부 시계까지),37.59,127.055
시민의 숲 공원,공원및생태복원지,생태공원,서초구 236번지 양재시민의 숲,37.454,127.037
어린이대공원,공원및생태복원지,생태공원,광진구 능동로 233(능동 18번지 일대),37.548,127.083
계남 근린공원,주요 산림생태계,주요 근린공원,"양천구 신정동 44-2번지 일대, 구로구 고척2동 산8번지 일대",37.524,126.858
명일 근린공원,주요 산림생태계,주요 근린공원,강동구 상일동 산26-6 일대,37.536,127.165
보라매 공원,공원및생태복원지,생태공원,동작구 신대방동 395번지,37.487,126.917
여의도 공원,공원및생태복원지,생태공원,영등포구 여의도동 2번지,37.525,126.925
효창 근린공원,공원및생태복원지,생태공원,용산구 효창동 255번지 일대,37.541,126.961
올림픽 공원,공원및생태복원지,생태공원,송파구 방이동 88번지,37.511,127.115
한강,주요하천,한강,서울특별시 관할 행정구역,37.566,126.978
서울숲 공원,공원및생태복원지,생태공원,서울특별시 성동구 성수동 1가 685번지 일대,37.546,127.053
국립서울현충원,공원및생태복원지,생태공원,동작구 동작동 산44-7,37.495,126.961
일자산 도시자연공원,주요 산림생태계,도시자연공원,강동구 길동 산6 일대,37.54,127.142
초안산 근린공원,주요 산림생태계,주요 근린공원,"노원구 월계동 산1번지 일대, 도봉구 창동 산48-4호 일대",37.626,127.064
청계천,주요하천,지천,"청계광장 ~ 중랑천합류부(청계천 본류 관할구 : 종로구,중구,성동구,동대문구 )",37.57,127.021
서달로 생태통로,공원및생태복원지,교량형 생태통로,동작구 흑석동 330번지 일대,37.504,126.958
서리풀 근린공원,주요 산림생태계,주요 근린공원,서초구 서초동 산 165번지 일대,37.478,127.029
백련 근린공원,주요 산림생태계,주요 근린공원,"서대문구 홍은동 산11번지 일대, 은평구 응암동 산1-27번지 일대",37.588,126.944
불암산 도시자연공원,주요 산림생태계,도시자연공원,"노원구 중계동, 공릉동 일원",37.654,127.063
남산 도시자연공원,주요 산림생태계,도시자연공원,"중구 회현동, 장충동, 예장동 일원, 용산구 한남동, 후암동 일원",37.559,126.975
관악산~까치산 생태통로,공원및생태복원지,교량형 생태통로,관악구 남현동~ 동작구 사당동,37.482,126.951
금호산~매봉산 생태통로,공원및생태복원지,교량형 생태통로, 중구 신당동 산149번지 일대,37.558,127.014
북악산 야생동식물보호구역,야생동식물보호구역,,성북구 성북동 산 25-1 ,37.603,127.007
월드컵공원,공원및생태복원지,생태공원,마포구 난지도길 45-1(성산동 390-1) 일대,37.565,126.877
용산가족공원,공원및생태복원지,생태공원,서울시 용산구 용산동6가 68-90,37.545,126.977
광평 근린공원,주요 산림생태계,주요 근린공원,강남구 일원동 산10-1번지 일대,37.477,127.071
용마산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,"중랑구 면목동 산1-1,3, 망우동57-4",37.587,127.091
오동 근린공원,주요 산림생태계,주요 근린공원,"강북구 번동 산28-6번지 일대, 성북구 월곡동 산2-1번지 일대",37.635,127.021
응봉(매봉산) 근린공원,주요 산림생태계,주요 근린공원,"대표 : 금호2가 산1 일대( 금호산 - 금호2가 산9-1, 대현산 - 금호1가 산1-72, 산37-1,응봉산 - 응봉동 271, 암벽공원 -  응봉동 269-4,  매봉산 - 옥수1동 428-6), 중구 신당동 산37, 용산구 한남동 산8-1",37.545,127.005
장지 근린공원,주요 산림생태계,주요 근린공원,송파구 장지동 산 1번지 외 ,37.477,127.131
중랑천하류 철새보호구역,야생동식물보호구역,철새보호구역,청계천-중랑천 합수부 ?  중랑천-한강 합수부-서울숲,37.567,127.029
북악산 도시자연공원,주요 산림생태계,도시자연공원,"종로구 부암동 산 2-5번지 일대, 성북구 성북동 일원",37.592,126.964
관악산 도시자연공원,주요 산림생태계,도시자연공원,관악구 신림9동 산56-1번지 일대,37.594,127.009
청계산 도시자연공원,주요 산림생태계,도시자연공원,서초구 원지동 일원,37.467,126.92
용마 도시자연공원 (아차산 및 용마산),주요 산림생태계,도시자연공원,"중랑구 면목동 산1-1 일원, 광진구 중곡동, 구의동, 광장동 일원",37.453,127.038
망우산(묘지공원),공원및생태복원지,생태공원,중랑구 망우동  산57-3 일원,37.586,127.097
여의도샛강 생태공원,공원및생태복원지,생태공원,여의도와 영등포 사이의 샛강(서울교와 여의교 사이에 위치),37.59,127.11
청계천하류 철새보호구역,야생동식물보호구역,철새보호구역,"성동구 고산자교 ? 청계천, 중랑천 합수부",37.527,126.92
수락산 도시자연공원,주요 산림생태계,도시자연공원,노원구 상계동 산3-1번지 일대,37.564,127.04
온수 도시자연공원,주요 산림생태계,도시자연공원,"구로구 개봉, 수궁, 온수, 오류, 궁동, 양천구 신월, 신정동 일원",37.661,127.073
인왕산 도시자연공원,주요 산림생태계,도시자연공원,종로구 옥인동 산3-1 일대,37.501,126.847
북한산 국립공원,주요 산림생태계,국립공원,"서울시 종로구, 은평구, 서대문구, 성북구, 강북구, 도봉구 일원, 경기도의정부, 양주, 고양시 일원",37.577,126.973
봉화산 근린공원,주요 산림생태계,주요 근린공원,중랑구 묵동 산46-1 일대,37.612,127.076
우면산 자연생태공원,야생동식물보호구역,철새보호구역,"오목교~목동교 양안(영등포구  양평동484, 양천구 목동 409 번지 일대)",37.527,126.872
천왕 도시자연공원,주요 산림생태계,도시자연공원,구로구 천왕동 산25-1 일대,37.472,126.836
안산 도시자연공원,주요 산림생태계,도시자연공원,서대문구 홍제동 산33 일대,37.588,126.953
봉산 도시자연공원,주요 산림생태계,도시자연공원,"은평구 수색, 증산, 신사, 구산동 일원",37.589,126.905
서오릉 도시자연공원,주요 산림생태계,도시자연공원,"은평구 구파발, 갈현, 진관내동 일원",37.639,126.918
대모산 도시자연공원,주요 산림생태계,도시자연공원,"강남구 개포동, 세곡동, 서초구 염곡동, 내곡동 일원",37.468,127.055
삼청 근린공원,주요 산림생태계,주요 근린공원,종로구 삼청동 산2-1 일대,37.582,126.981
청량 근린공원,주요 산림생태계,주요 근린공원,"성북구 석관동 산 1-5 일대, 동대문구 청량리2 산1번지 일대",37.614,127.054
난지한강공원 야생생물보호구역,야생동식물보호구역,야생동식물보호구역,서울특별시 마포구 상암동 496-121,37.579,126.891
우면산(두꺼비 서식지) 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,서초구 우면동 산34-1 일대,37.442,127.049
수락산 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,노원구 상계동 산153-1 일대 ,37.656,127.08
진관 양서파충류서식지 야생동식물보호구역,야생동식물보호구역,야생동식물보호구역,은평구 진관동 산35-1외 66필지,37.641,126.929
